Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,16-Oct-19,768.3,765.25,775.95,761.55,771,771.45,770.12,10767032,8291883881,258065,5624891,52.24
INFY,EQ,17-Oct-19,771.45,767,770.55,765.1,769.4,769.5,768.53,9860495,7578123004,202471,7175174,72.77
INFY,EQ,18-Oct-19,769.5,763.8,773.8,760,767.5,767.85,767.62,10037200,7704758992,187743,5535843,55.15
INFY,EQ,22-Oct-19,767.85,691.1,691.1,638.35,640,643.55,658.16,90152532,59334453057,1643015,57759158,64.07
INFY,EQ,23-Oct-19,643.55,630,656.65,615.1,650.35,650.6,643.94,60516887,38969147749,1059289,28705698,47.43
INFY,EQ,24-Oct-19,650.6,650,653.2,632,634.7,635.35,643.72,25666433,16521876123,393942,14070797,54.82
INFY,EQ,25-Oct-19,635.35,647,652.5,636,637.1,637.45,643.66,16549337,10652215420,327171,8298797,50.15
INFY,EQ,27-Oct-19,637.45,651.1,652.5,645.55,649.95,648.85,648.43,2945433,1909914669,67356,1646327,55.89
INFY,EQ,29-Oct-19,648.85,651,653.75,647,650.9,650.65,650.33,16709764,10866929875,309792,11733053,70.22
INFY,EQ,30-Oct-19,650.65,660.4,671.4,656.2,662.25,660.6,664.01,22879467,15192276718,319118,13197793,57.68
INFY,EQ,31-Oct-19,660.6,668.4,695.45,666.1,687,685.6,685.39,27405901,18783689652,424958,12137949,44.29
INFY,EQ,1-Nov-19,685.6,690,694,682.6,688.9,687.9,688.47,9713519,6687468933,181647,4209298,43.33
INFY,EQ,4-Nov-19,687.9,681.8,732.5,678.15,710.1,709,714.2,29381982,20984607124,384467,7483448,25.47
INFY,EQ,5-Nov-19,709,708.75,708.75,691.5,695.05,696.1,699.32,12897805,9019750145,204502,5126393,39.75
INFY,EQ,6-Nov-19,696.1,695.8,721.5,692,712.5,712.3,710.66,21372589,15188685234,344247,7762086,36.32
INFY,EQ,7-Nov-19,712.3,717,724.35,712.1,720.25,720.1,718.75,13733737,9871154253,205054,7318796,53.29
INFY,EQ,8-Nov-19,720.1,722,724.25,705.5,708.3,708.15,716.33,8585630,6150137780,114589,4349437,50.66
INFY,EQ,11-Nov-19,708.15,698.9,707.2,698,703.1,704.4,703.64,6951494,4891336200,118370,3050177,43.88
INFY,EQ,13-Nov-19,704.4,696.5,700,687.75,691.45,691.35,695.08,9973690,6932539254,182739,4810242,48.23
INFY,EQ,14-Nov-19,691.35,696.35,709.8,696.35,705.05,705.3,705.92,10539902,7440318352,172258,4673617,44.34
INFY,EQ,15-Nov-19,705.3,709.05,712.95,702.3,704.6,703.9,705.52,7362623,5194471562,122419,4660400,63.3
INFY,EQ,18-Nov-19,703.9,705,710,699.3,709.9,705.2,703.53,7490916,5270093826,140015,4896848,65.37
INFY,EQ,19-Nov-19,705.2,709.9,714,705,712.8,712.85,710.87,6495885,4617726814,127941,3654389,56.26
INFY,EQ,20-Nov-19,712.85,712.8,715,705,713,713,710.95,6142171,4366791187,87462,3748676,61.03
INFY,EQ,21-Nov-19,713,715.5,721.45,710.5,712.15,713.25,714.88,9692973,6929352718,127699,6217311,64.14
INFY,EQ,22-Nov-19,713.25,711.75,712,685.1,692.95,693.2,693.38,14415826,9995652431,223156,5835762,40.48
INFY,EQ,25-Nov-19,693.2,693.35,705.15,693.2,699,698.1,698.13,7334511,5120436170,109264,3806774,51.9
INFY,EQ,26-Nov-19,698.1,705,707.25,686,692.6,690.6,693.08,27253106,18888701556,163058,18766289,68.86
INFY,EQ,27-Nov-19,690.6,694.25,697.65,690.1,696.15,695.75,694.39,3861635,2681478170,64039,2127806,55.1
INFY,EQ,28-Nov-19,695.75,699.1,703.35,694.05,701.45,701.85,698.53,4837683,3379270403,84619,2196270,45.4
INFY,EQ,29-Nov-19,701.85,700.9,702.3,691.55,695.8,696.35,695.72,4262379,2965402319,110226,2568211,60.25
INFY,EQ,2-Dec-19,696.35,703.1,704,690.3,692.75,692.7,693.51,9383736,6507684351,102880,7134359,76.03
INFY,EQ,3-Dec-19,692.7,692.7,699.7,688.55,699,698.35,696.23,5239013,3647553742,84499,2780779,53.08
INFY,EQ,4-Dec-19,698.35,697,710.5,693.35,708.25,708.85,706.09,7427886,5244767945,169304,3885827,52.31
INFY,EQ,5-Dec-19,708.85,706.45,715.9,703.8,714.1,714.85,712.06,4814422,3428139268,76989,1946177,40.42
INFY,EQ,6-Dec-19,714.85,715.95,720,709.6,714.5,715.1,715.43,5226096,3738886365,79319,2470841,47.28
INFY,EQ,9-Dec-19,715.1,716,722.35,714.25,716.05,717.25,718.66,6435865,4625177252,114112,3793800,58.95
INFY,EQ,10-Dec-19,717.25,713,718.5,710,713.45,714.55,715.42,4457939,3189284688,81372,2491263,55.88
INFY,EQ,11-Dec-19,714.55,716.6,722.7,713,720,721.05,718.49,6043554,4342244981,125702,3829712,63.37
INFY,EQ,12-Dec-19,721.05,718.5,720.7,699.55,702.1,702.1,706.03,11112042,7845417394,163350,4701874,42.31
INFY,EQ,13-Dec-19,702.1,700.35,712.9,700.35,711.5,711.3,708.5,10302412,7299214570,132030,5440986,52.81
INFY,EQ,16-Dec-19,711.3,712.3,720.2,710.2,714.25,714,715.89,5616324,4020694131,116838,3181046,56.64
INFY,EQ,17-Dec-19,714,719.7,731.25,715,730.5,729.7,726.51,10525565,7646917890,193372,5918984,56.23
INFY,EQ,18-Dec-19,729.7,731,737.3,722.75,733.4,732.45,732.13,12215295,8943242214,210673,6987100,57.2
INFY,EQ,19-Dec-19,732.45,733.5,735.95,724.6,732,730.85,729.59,7199210,5252474994,165219,3944237,54.79
INFY,EQ,20-Dec-19,730.85,731,735,728.25,730,731.55,731.45,7794167,5701077060,131404,4269114,54.77
INFY,EQ,23-Dec-19,731.55,732.15,737.3,731.65,735.95,736,734.61,4975608,3655128113,80052,3045794,61.21
INFY,EQ,24-Dec-19,736,736.95,736.95,728.3,734.25,733.4,732.75,2890759,2118192661,50306,1365090,47.22
INFY,EQ,26-Dec-19,733.4,732,734.55,726.55,729.5,728.95,730.42,3821806,2791528461,48763,2112825,55.28
INFY,EQ,27-Dec-19,728.95,729.75,737.5,728.85,736.55,736.95,734.36,3399094,2496171889,65467,1848140,54.37
INFY,EQ,30-Dec-19,736.95,736.1,737.95,727.25,732.5,732.9,732.53,5368416,3932522164,115398,3267316,60.86
INFY,EQ,31-Dec-19,732.9,729.7,737.75,725.45,732,731.15,732.75,6927885,5076419897,156522,2954104,42.64
INFY,EQ,1-Jan-20,731.15,735,740,732.55,739.35,736.85,735.35,2112415,1553368749,36769,561646,26.59
INFY,EQ,2-Jan-20,736.85,738.9,740.8,730.9,735.75,734.7,735.22,5658200,4160025336,102483,3413440,60.33
INFY,EQ,3-Jan-20,734.7,733.9,748,733.9,745,746,744.67,7882938,5870173302,105632,3682521,46.72
INFY,EQ,6-Jan-20,746,746.1,753.8,736.5,738.5,738.85,743.51,6519403,4847236982,129992,2871332,44.04
INFY,EQ,7-Jan-20,738.85,738,742.6,725.1,729.3,727.9,734.63,7899363,5803119825,189680,3976564,50.34
INFY,EQ,8-Jan-20,727.9,724.95,729,708.3,718.9,718.2,717.84,8639443,6201707522,232857,3579984,41.44
INFY,EQ,9-Jan-20,718.2,721.7,731.5,714.3,727.6,727.55,724.6,13521186,9797455292,161064,7560512,55.92
INFY,EQ,10-Jan-20,727.55,740.45,742.9,730.5,740,738.15,737.69,9341405,6891078451,145267,2641897,28.28
INFY,EQ,13-Jan-20,738.15,760,777.5,755,772.5,773.55,769.14,36952038,28421129305,753340,12985958,35.14
INFY,EQ,14-Jan-20,773.55,769.95,776.95,767.2,775.5,775.65,772.12,11414418,8813264899,289583,5736351,50.26
INFY,EQ,15-Jan-20,775.65,773.85,773.85,762.15,766.3,767.55,766.99,6047430,4638298219,96319,2874200,47.53
INFY,EQ,16-Jan-20,767.55,770.7,772.5,760.25,767.2,767,766.35,5740586,4399309409,93520,2546218,44.35
INFY,EQ,17-Jan-20,767,770.7,772.9,762.25,767.45,767.85,766.35,3762957,2883743850,98313,1716214,45.61
INFY,EQ,20-Jan-20,767.85,771.6,774.4,762.95,768.85,768.45,767.06,3887680,2982074924,81096,1987288,51.12
INFY,EQ,21-Jan-20,768.45,768.45,770.5,760.75,761.15,762.5,764.09,4448374,3398977857,83703,2831904,63.66
