"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","16-Oct-2019","       6985.75","       7003.45","       7013.90","       6895.00","       6977.00","       6975.00","       6958.16","     876844","          6101225216.15","      84164","     250951","         28.62"
"MARUTI","EQ","17-Oct-2019","       6975.00","       6977.00","       7155.55","       6940.00","       7126.00","       7123.90","       7027.01","    1248295","          8771779630.85","      89325","     415007","         33.25"
"MARUTI","EQ","18-Oct-2019","       7123.90","       7081.30","       7450.00","       7061.65","       7350.00","       7302.30","       7225.40","    1463126","         10571673041.45","     114860","     556218","         38.02"
"MARUTI","EQ","22-Oct-2019","       7302.30","       7333.00","       7392.00","       7232.00","       7262.25","       7256.25","       7313.80","     959552","          7017969456.70","      90739","     229762","         23.94"
"MARUTI","EQ","23-Oct-2019","       7256.25","       7201.05","       7472.00","       7200.00","       7415.20","       7440.25","       7381.04","    1278695","          9438098512.75","     103063","     258231","         20.19"
"MARUTI","EQ","24-Oct-2019","       7440.25","       7460.00","       7475.00","       7271.00","       7390.00","       7391.40","       7386.60","    1658859","         12253327172.30","     157094","     276210","         16.65"
"MARUTI","EQ","25-Oct-2019","       7391.40","       7396.50","       7509.00","       7353.85","       7460.30","       7471.15","       7442.20","    1353615","         10073877372.65","     164781","     297170","         21.95"
"MARUTI","EQ","27-Oct-2019","       7471.15","       7477.00","       7500.00","       7392.05","       7412.00","       7422.10","       7444.90","     128352","           955568179.00","      12869","      22464","         17.50"
"MARUTI","EQ","29-Oct-2019","       7422.10","       7416.00","       7758.70","       7381.85","       7750.00","       7721.30","       7612.92","    1396732","         10633212797.45","     157536","     505877","         36.22"
"MARUTI","EQ","30-Oct-2019","       7721.30","       7744.00","       7753.65","       7539.70","       7562.00","       7556.95","       7625.75","    1243366","          9481592083.20","     127442","     314143","         25.27"
"MARUTI","EQ","31-Oct-2019","       7556.95","       7612.90","       7645.00","       7502.00","       7559.45","       7559.40","       7568.25","    1067275","          8077406378.60","     109160","     294848","         27.63"
"MARUTI","EQ","01-Nov-2019","       7559.40","       7599.95","       7649.00","       7545.10","       7602.00","       7618.65","       7603.25","    1151035","          8751611320.35","      95019","     212054","         18.42"
"MARUTI","EQ","04-Nov-2019","       7618.65","       7550.00","       7625.00","       7407.45","       7429.95","       7424.00","       7494.28","     824953","          6182428853.75","      75458","     162110","         19.65"
"MARUTI","EQ","05-Nov-2019","       7424.00","       7429.95","       7541.95","       7325.00","       7395.95","       7389.00","       7421.46","    1207089","          8958357460.85","     100603","     243140","         20.14"
"MARUTI","EQ","06-Nov-2019","       7389.00","       7395.00","       7415.00","       7295.00","       7310.00","       7311.15","       7338.92","     923041","          6774124387.20","      76497","     352481","         38.19"
"MARUTI","EQ","07-Nov-2019","       7311.15","       7357.00","       7357.00","       7241.00","       7292.10","       7287.15","       7286.46","     877885","          6396671247.55","      75660","     217058","         24.73"
"MARUTI","EQ","08-Nov-2019","       7287.15","       7286.45","       7370.00","       7178.05","       7192.65","       7200.55","       7286.11","     983936","          7169066091.90","      75540","     248436","         25.25"
"MARUTI","EQ","11-Nov-2019","       7200.55","       7160.00","       7237.45","       7074.00","       7121.30","       7137.30","       7137.71","     864507","          6170601866.10","      82023","     204279","         23.63"
"MARUTI","EQ","13-Nov-2019","       7137.30","       7130.00","       7169.85","       7095.00","       7145.00","       7154.60","       7133.06","     687017","          4900533229.70","      59645","     195757","         28.49"
"MARUTI","EQ","14-Nov-2019","       7154.60","       7160.00","       7270.00","       7160.00","       7246.00","       7247.15","       7232.45","     802462","          5803765744.80","      68287","     162744","         20.28"
"MARUTI","EQ","15-Nov-2019","       7247.15","       7300.00","       7359.00","       7116.20","       7140.00","       7147.20","       7248.07","    1049492","          7606787177.65","      86228","     279058","         26.59"
"MARUTI","EQ","18-Nov-2019","       7147.20","       7150.00","       7177.00","       7075.00","       7105.05","       7098.45","       7120.09","     537228","          3825113892.85","      48810","      82593","         15.37"
"MARUTI","EQ","19-Nov-2019","       7098.45","       7146.00","       7155.00","       7032.00","       7054.00","       7045.45","       7078.54","     755114","          5345101655.45","      82585","     247077","         32.72"
"MARUTI","EQ","20-Nov-2019","       7045.45","       7120.00","       7218.00","       7044.00","       7120.00","       7152.75","       7144.30","    1289948","          9215771943.10","      93566","     432376","         33.52"
"MARUTI","EQ","21-Nov-2019","       7152.75","       7150.00","       7200.00","       7004.80","       7017.00","       7019.05","       7106.45","     763454","          5425444943.40","      67829","     233687","         30.61"
"MARUTI","EQ","22-Nov-2019","       7019.05","       7034.00","       7077.45","       7000.00","       7065.00","       7060.45","       7041.13","     685503","          4826718519.80","      54409","     192065","         28.02"
"MARUTI","EQ","25-Nov-2019","       7060.45","       7075.20","       7263.50","       7040.30","       7238.00","       7236.10","       7180.61","     952419","          6838953466.15","      81904","     271845","         28.54"
"MARUTI","EQ","26-Nov-2019","       7236.10","       7238.00","       7274.00","       7084.00","       7130.00","       7125.00","       7171.27","    1249810","          8962724392.30","      94714","     590705","         47.26"
"MARUTI","EQ","27-Nov-2019","       7125.00","       7166.60","       7300.00","       7166.60","       7299.00","       7294.40","       7254.47","    1070680","          7767211209.75","      86402","     312798","         29.21"
"MARUTI","EQ","28-Nov-2019","       7294.40","       7299.80","       7321.10","       7220.95","       7255.65","       7261.25","       7260.77","     602077","          4371543716.80","      47860","     156626","         26.01"
"MARUTI","EQ","29-Nov-2019","       7261.25","       7254.00","       7293.85","       7132.00","       7253.35","       7245.85","       7215.71","     792083","          5715439563.35","      63587","     175104","         22.11"
"MARUTI","EQ","02-Dec-2019","       7245.85","       7291.00","       7294.85","       7106.75","       7129.00","       7139.35","       7174.28","     703838","          5049534364.55","      54287","     167213","         23.76"
"MARUTI","EQ","03-Dec-2019","       7139.35","       7142.65","       7240.00","       7060.00","       7127.50","       7138.80","       7161.86","     668269","          4786049338.35","      53077","      83750","         12.53"
"MARUTI","EQ","04-Dec-2019","       7138.80","       7129.80","       7170.00","       7052.00","       7076.10","       7076.10","       7101.76","     737723","          5239134460.05","      57207","     197031","         26.71"
"MARUTI","EQ","05-Dec-2019","       7076.10","       7090.00","       7125.15","       6990.55","       6995.00","       7012.85","       7056.26","     602894","          4254176128.55","      53458","     137860","         22.87"
"MARUTI","EQ","06-Dec-2019","       7012.85","       7012.85","       7050.00","       6864.10","       6886.75","       6886.70","       6950.34","     770911","          5358089807.75","      69329","     116126","         15.06"
"MARUTI","EQ","09-Dec-2019","       6886.70","       7007.00","       7108.00","       6952.35","       7011.95","       6994.75","       7023.88","    1479832","         10394166354.70","     115549","     326462","         22.06"
"MARUTI","EQ","10-Dec-2019","       6994.75","       7019.00","       7048.95","       6905.00","       6982.15","       6963.65","       6969.35","     790378","          5508420269.85","      68946","     178646","         22.60"
"MARUTI","EQ","11-Dec-2019","       6963.65","       7000.00","       7035.00","       6955.20","       6985.85","       6993.20","       6993.48","     603048","          4217403800.50","      56994","     149777","         24.84"
"MARUTI","EQ","12-Dec-2019","       6993.20","       7030.40","       7045.95","       6975.50","       7000.00","       6999.80","       7003.06","     932863","          6532893219.80","      56242","     521775","         55.93"
"MARUTI","EQ","13-Dec-2019","       6999.80","       7043.95","       7249.00","       7030.15","       7242.00","       7214.95","       7143.20","    1199360","          8567268416.95","     105681","     440127","         36.70"
"MARUTI","EQ","16-Dec-2019","       7214.95","       7240.00","       7257.70","       7125.00","       7134.95","       7140.05","       7183.39","     727854","          5228458868.55","      59941","     208210","         28.61"
"MARUTI","EQ","17-Dec-2019","       7140.05","       7209.90","       7276.50","       7166.00","       7189.10","       7195.15","       7211.21","     939918","          6777942085.30","      79678","     272131","         28.95"
"MARUTI","EQ","18-Dec-2019","       7195.15","       7220.00","       7254.95","       7164.00","       7240.05","       7240.65","       7209.42","     841740","          6068461334.75","      61450","     308996","         36.71"
"MARUTI","EQ","19-Dec-2019","       7240.65","       7248.95","       7310.00","       7166.00","       7230.00","       7240.65","       7262.25","    1001697","          7274577372.10","      69342","     317278","         31.67"
"MARUTI","EQ","20-Dec-2019","       7240.65","       7240.65","       7304.35","       7227.50","       7255.00","       7261.50","       7265.58","     679779","          4938990587.70","      68095","     226214","         33.28"
"MARUTI","EQ","23-Dec-2019","       7261.50","       7275.00","       7378.60","       7250.10","       7374.70","       7360.90","       7329.56","     914067","          6699709957.00","      69493","     252290","         27.60"
"MARUTI","EQ","24-Dec-2019","       7360.90","       7397.00","       7423.70","       7302.00","       7319.50","       7327.80","       7373.16","     850537","          6271144686.50","      66849","     140503","         16.52"
"MARUTI","EQ","26-Dec-2019","       7327.80","       7334.00","       7343.45","       7222.00","       7237.25","       7240.90","       7282.31","     556360","          4051588542.55","      41162","     105301","         18.93"
"MARUTI","EQ","27-Dec-2019","       7240.90","       7268.00","       7368.50","       7251.40","       7354.20","       7344.90","       7302.96","     665383","          4859265146.05","      44849","     182392","         27.41"
"MARUTI","EQ","30-Dec-2019","       7344.90","       7378.00","       7431.95","       7341.60","       7415.00","       7416.25","       7387.18","     739631","          5463787167.85","      57365","     234375","         31.69"
"MARUTI","EQ","31-Dec-2019","       7416.25","       7412.50","       7412.50","       7355.25","       7370.00","       7368.60","       7377.02","     560622","          4135721059.70","      40633","     156039","         27.83"
"MARUTI","EQ","01-Jan-2020","       7368.60","       7377.00","       7409.95","       7282.05","       7308.00","       7311.70","       7339.10","     634725","          4658307412.85","      42182","      94094","         14.82"
"MARUTI","EQ","02-Jan-2020","       7311.70","       7327.60","       7368.00","       7312.00","       7316.45","       7329.85","       7339.32","     616838","          4527173729.35","      51801","     173302","         28.10"
"MARUTI","EQ","03-Jan-2020","       7329.85","       7328.95","       7332.00","       7226.00","       7250.35","       7254.25","       7275.61","     571967","          4161407040.80","      42037","     152281","         26.62"
"MARUTI","EQ","06-Jan-2020","       7254.25","       7200.00","       7210.00","       7026.50","       7032.00","       7042.40","       7074.03","     748516","          5295028129.05","      64186","     235356","         31.44"
"MARUTI","EQ","07-Jan-2020","       7042.40","       7100.00","       7165.60","       7026.40","       7075.00","       7073.60","       7089.61","     590500","          4186415011.40","      50872","     113291","         19.19"
"MARUTI","EQ","08-Jan-2020","       7073.60","       7060.00","       7116.65","       6980.45","       7035.00","       7035.20","       7034.09","     793313","          5580233047.20","      54674","     254739","         32.11"
"MARUTI","EQ","09-Jan-2020","       7035.20","       7140.00","       7240.00","       7102.00","       7240.00","       7227.90","       7180.72","     798184","          5731536546.55","      60422","     212618","         26.64"
"MARUTI","EQ","10-Jan-2020","       7227.90","       7261.40","       7349.90","       7234.40","       7329.00","       7330.50","       7299.43","     747847","          5458857956.80","      59339","     267982","         35.83"
"MARUTI","EQ","13-Jan-2020","       7330.50","       7332.00","       7370.00","       7279.80","       7364.00","       7352.70","       7325.48","     537399","          3936703056.85","      45690","     165929","         30.88"
"MARUTI","EQ","14-Jan-2020","       7352.70","       7355.00","       7412.40","       7325.60","       7390.00","       7386.80","       7377.09","     548522","          4046494825.80","      46069","     179085","         32.65"
"MARUTI","EQ","15-Jan-2020","       7386.80","       7388.95","       7505.00","       7353.00","       7482.00","       7482.95","       7419.98","     692726","          5140014822.30","      46714","     265556","         38.33"
"MARUTI","EQ","16-Jan-2020","       7482.95","       7456.50","       7521.00","       7421.20","       7469.90","       7462.65","       7466.23","     640207","          4779933299.20","      45686","     220985","         34.52"
"MARUTI","EQ","17-Jan-2020","       7462.65","       7469.00","       7569.90","       7432.55","       7550.85","       7520.15","       7499.26","     750738","          5629978077.55","      49650","     316998","         42.22"
"MARUTI","EQ","20-Jan-2020","       7520.15","       7521.25","       7529.50","       7421.05","       7440.00","       7449.60","       7468.19","     407828","          3045737844.20","      37148","     138592","         33.98"
"MARUTI","EQ","21-Jan-2020","       7449.60","       7411.50","       7434.65","       7287.80","       7297.90","       7302.65","       7350.84","     442561","          3253196112.05","      36589","     130675","         29.53"
"MARUTI","EQ","22-Jan-2020","       7302.65","       7340.00","       7374.95","       7107.95","       7145.00","       7135.60","       7165.57","    1048435","          7512636152.90","      88307","     445035","         42.45"
"MARUTI","EQ","23-Jan-2020","       7135.60","       7145.40","       7220.00","       7123.15","       7132.95","       7147.10","       7163.31","     589326","          4221523381.85","      43298","     148780","         25.25"
"MARUTI","EQ","24-Jan-2020","       7147.10","       7148.80","       7210.00","       7111.25","       7130.00","       7128.45","       7154.51","     645723","          4619831010.25","      50530","     245191","         37.97"
"MARUTI","EQ","27-Jan-2020","       7128.45","       7101.50","       7225.00","       7061.00","       7125.00","       7148.80","       7163.25","     573149","          4105610539.80","      47664","     127650","         22.27"
"MARUTI","EQ","28-Jan-2020","       7148.80","       7179.95","       7219.95","       6963.00","       6999.00","       6997.05","       7076.43","    1614448","         11424531373.55","     151546","     334719","         20.73"
"MARUTI","EQ","29-Jan-2020","       6997.05","       7010.00","       7116.25","       6975.00","       7022.00","       7010.30","       7043.38","    1001252","          7052201123.75","     116694","     314006","         31.36"
"MARUTI","EQ","30-Jan-2020","       7010.30","       7020.00","       7049.00","       6981.00","       7020.00","       7020.45","       7014.30","     579174","          4062497416.75","      48242","     158571","         27.38"
"MARUTI","EQ","31-Jan-2020","       7020.45","       7035.00","       7064.00","       6895.55","       6927.00","       6913.50","       6966.75","     868935","          6053651158.65","      87940","     337744","         38.87"
"MARUTI","EQ","01-Feb-2020","       6913.50","       6915.00","       7109.80","       6740.30","       6775.00","       6812.65","       6939.09","    1412932","          9804458184.70","     149692","     376648","         26.66"
"MARUTI","EQ","03-Feb-2020","       6812.65","       6780.00","       7044.85","       6780.00","       7010.00","       7011.30","       6946.13","    1010531","          7019275548.45","     115802","     280991","         27.81"
"MARUTI","EQ","04-Feb-2020","       7011.30","       7020.00","       7215.00","       7001.00","       7196.30","       7199.60","       7133.75","     973311","          6943361735.55","      77101","     368821","         37.89"
